SampleID,RUN,Group_RUN
2-ZTKL09C,R5504,cmc_MRD
9-MLGAAJ51,R5504,cmc_MRD
1-ZTKL06C,R5504,cmc_MRD
5-ZTKL12C,R5504,cmc_MRD
6-ZTKL19B,R5504,cmc_MRD
4-ZTKL11C,R5504,cmc_MRD
3-ZTKL10C,R5504,cmc_MRD
10-MEDAAA08,R5504,cmc_MRD
8-ZIL103B,R5504,cmc_MRD
7-ZTKL23A,R5504,cmc_MRD
74-MEKAAA09,S0033,cmc_MRD
77-LAAX37,S0033,cmc_MRD
76-LAAX36,S0033,cmc_MRD
75-LAAX35,S0033,cmc_MRD
73-MEKAAA08,S0033,cmc_MRD
3-ZMB018D,R5453,cmc_MRD
1-ZMB001D,R5453,cmc_MRD
9-ZMC016C,R5453,cmc_MRD
8-ZMB055D,R5453,cmc_MRD
2-ZMB017D,R5453,cmc_MRD
4-ZMG138C,R5453,cmc_MRD
19-ZMB072D,R5453,cmc_MRD
14-MUGAAA75,R5453,cmc_MRD
10-ZMC021C,R5453,cmc_MRD
24-ZMB104D,R5453,cmc_MRD
17-ZMB058D,R5453,cmc_MRD
8-K0AJ49,R5453,cmc_MRD
2-ZMG131D,R5453,cmc_MRD
26-ZMC107D,R5453,cmc_MRD
15-MUGAAA76,R5453,cmc_MRD
25-ZMC038D,R5453,cmc_MRD
31-MUAAAA78,R5453,cmc_MRD
20-ZMB076D,R5453,cmc_MRD
11-ZMC035C,R5453,cmc_MRD
16-K0AI03,R5453,cmc_MRD
30-MUGAAA91,R5453,cmc_MRD
6-ZMB044C,R5453,cmc_MRD
1-ZMG131C,R5453,cmc_MRD
29-MUGAAB19,R5453,cmc_MRD
3-ZMG138B,R5453,cmc_MRD
21-ZMB080D,R5453,cmc_MRD
7-ZMH032B,R5453,cmc_MRD
5-ZMG138D,R5453,cmc_MRD
22-ZMB201C,R5453,cmc_MRD
12-MUGAAA15,R5453,cmc_MRD
32-K0AI11,R5453,cmc_MRD
28-MUGAAA90,R5453,cmc_MRD
27-ZMC119B,R5453,cmc_MRD
13-MUGAAA77,R5453,cmc_MRD
18-ZMB068D,R5453,cmc_MRD
7-ZMB052D,R5453,cmc_MRD
6-ZMH023B,R5453,cmc_MRD
5-ZMB034D,R5453,cmc_MRD
23-ZMB102D,R5453,cmc_MRD
4-ZMB033D,R5453,cmc_MRD
2-HAGAAA06,R5369,cmc_MRD
4-HMGAAA03,R5369,cmc_MRD
1-HAAA49,R5369,cmc_MRD
3-HAAA46,R5369,cmc_MRD
5-HAGAAA03,R5369,cmc_MRD
1-ZNAB03C,R5237,cmc_MRD
3-ZNAB07C,R5237,cmc_MRD
8-ZNAB11B,R5237,cmc_MRD
4-ZNAB09B,R5237,cmc_MRD
